,country,year,cpi,dyn_gdp,dyn_gdp_china,dyn_GDP_US,interest_rate_US,oil_yoy,dyn_consum,diff_priv_credit_gdp,net_lending,public_debt,interest_on_debt,overvaluation,ca_balance,dyn_fix_cap_form,dyn_export_share,diff_unempl,dyn_prod_dol,VIX,GDP_per_cap,developed,crisis_next_year,crisis_next_period,crisis_first_year
Albania.Albania.28,Albania,1997,33.18027438,-10.83785574,9.230769231,4.487026493,6.3525,-9.696625193,-7.51533207,0.658130045,-11.902,72.194,7.58788819,-76.13623583,-13.047,-3.193132833,-40.09319376,2.6,-12.61538462,24.34,4.214331719,0,1,0,0
Albania.Albania.29,Albania,1998,20.64285887,9.00885254,7.837613919,4.449910963,5.264167,-34.42148155,-9.041649652,-0.100900439,-9.926,71.184,12.73179366,-75.08785129,-6.944,21.27289329,29.07902332,2.8,8.118153365,25.379999,4.622997404,0,0,1,0
Albania.Albania.30,Albania,1999,0.389437654,13.50117338,7.667486171,4.685199608,5.636667,38.26861305,-11.1666965,0.22267853,-8.841,68.183,11.31073728,-72.592897,-1.946,26.0008958,77.48672953,0.7,13.49737652,24.360001,5.280494746,0,1,0,0
Albania.Albania.31,Albania,2000,0.050018136,6.666620499,8.491508492,4.092176449,6.029167,53.41485013,-8.94816543,0.783225204,-7.772,63.769,9.252144459,-72.87512475,-7.07,53.12326308,8.201822151,-1.6,5.308464849,27.93,5.668539223,0,0,0,0
Albania.Albania.32,Albania,2001,3.10758827,7.940331425,8.33991055,0.975981834,5.0175,-16.59167139,-12.02911751,1.246860355,-6.837,60.613,6.916008117,-72.42565707,-6.315,34.82030831,18.9339184,-0.36,7.841356343,23.780001,6.176331939,0,0,0,0
Albania.Albania.33,Albania,2002,7.770525834,4.231371018,9.130645945,1.786127687,4.610833,0.776871746,2.887085664,0.429822703,-6.212,64.097,6.329469398,-71.1832332,-10.174,5.470190576,10.66358104,-0.689,2.470522179,28.74,6.457009522,0,0,0,0
Albania.Albania.34,Albania,2003,0.484002612,5.773490561,10.03560303,2.806775956,4.015,12.64833022,-7.984309128,1.128291965,-5.006,60.245,7.303510665,-65.81660181,-7.695,19.02361837,15.89278133,-0.751,5.315068493,17.959999,6.855405877,0,0,0,0
Albania.Albania.35,Albania,2004,2.280019169,5.709556596,10.11122346,3.78574285,4.274167,29.28029934,-1.180122284,2.001993059,-5.163,57.474,6.703900894,-59.31019735,-5.849,-0.549082899,13.25382902,-0.6,5.476066597,13.39,7.277169264,0,0,0,0
Albania.Albania.36,Albania,2005,2.366581957,5.720819947,11.39577594,3.345216063,4.29,37.81374126,0.847058411,5.714169765,-3.458,58.203,5.561568991,-58.08862186,-9.114,7.865872129,1.810852809,-0.3,5.623381428,12.25,7.73295843,0,0,0,0
Albania.Albania.37,Albania,2006,2.370728319,5.431012739,12.71947902,2.666625826,4.791667,15.75027412,-5.575598971,6.90963083,-3.263,56.688,5.053979678,-57.58046131,-6.111,14.11230064,4.46084155,-0.3,5.078809107,12.16,8.204536785,0,0,0,0
Albania.Albania.38,Albania,2007,2.932682482,5.9,14.23138804,1.77857024,4.629167,8.044198843,0.970938344,7.790580343,-3.179,53.55,4.937441643,-53.2058105,-10.661,8.775089391,15.34398848,-0.4,4.388888889,22.58,8.754514603,0,0,0,0
Albania.Albania.39,Albania,2008,3.359242418,3.760853683,9.654289373,-0.291621459,3.666667,29.38395926,-3.743425146,5.476303502,-4.884,55.14,5.253899166,-48.49609166,-15.764,-1.918443931,-4.70992889,-0.3,8.685470995,39.580002,9.153730792,0,0,0,0
Albania.Albania.40,Albania,2009,2.280502222,3.352610243,9.399813171,-2.775529574,3.256667,-36.3623035,-4.472330058,1.477656193,-6.586,59.666,5.317936513,-53.75671778,-15.95,1.986223049,15.74790175,0.7,5.190480854,21.68,9.524589563,0,0,0,0
Albania.Albania.41,Albania,2010,3.552267388,3.710057793,10.63614046,2.531920616,3.214167,26.82183584,-4.088146685,0.590590078,-3.52,57.72,5.814275814,-56.37718731,-11.294,-5.814718162,-7.904027677,0.2,4.58988921,17.940001,9.927119576,0,0,0,0
Albania.Albania.42,Albania,2011,3.450347153,2.55016086,9.536443008,1.601454672,2.785833,35.66956255,-0.739197306,1.952507106,-3.516,59.413,5.320384428,-54.95116666,-13.208,8.380002282,-4.852765113,0,-1.219512195,22.950001,10.20770067,0,0,0,0
Albania.Albania.43,Albania,2012,2.03159594,1.419967541,7.85626211,2.224030854,1.8025,-1.662828606,-2.120604117,-0.400606797,-3.441,62.144,5.010942327,-58.31663526,-10.15,-7.566620776,-6.844868601,-0.6,-3.19906281,15.24,10.36975834,0,0,1,0
Albania.Albania.44,Albania,2013,1.937617549,1.0007546,7.757635146,1.67733153,2.350833,-4.101196774,-1.088256247,-1.06573927,-5.215,70.391,4.560242076,-57.88155696,-9.251,-0.270830437,0.166783358,2.6,9.895736362,14.32,10.49274047,0,1,1,0
Albania.Albania.45,Albania,2014,1.631777988,1.774368743,7.297665959,2.370457671,2.540833,-10.3921701,3.632759285,-0.441212105,-5.457,71.992,3.989332148,-57.90735459,-10.793,-4.260490687,-0.307882241,1.5,1.626429479,17.76,10.70105367,0,1,1,0
Albania.Albania.46,Albania,2015,1.910016978,2.226581414,6.900204817,2.861587025,2.135833,-47.11797688,-3.969281226,-2.094613411,-4.073,74.073,3.65450299,-65.09629236,-8.629,4.369126129,-6.603389992,-0.4,-2.6673335,22.48,10.9712237,0,1,1,0
Albania.Albania.47,Albania,2016,1.282798834,3.369988612,6.689349894,1.485279193,1.841667,-18.03424419,-1.322499941,-0.739197207,-1.761,73.182,3.364215244,-65.10335437,-7.575,6.114899692,13.21804925,-1.9,1.019097371,14.07,11.35909916,0,1,0,0
Algeria.Algeria.72,Algeria,1992,31.66966191,1.800002301,14.21616358,3.555396148,7.01,-6.234760764,-11.38945375,-39.03434885,0.751,62.926,3.416711693,-73.09498158,2.621,29.94506108,-18.92719929,1.105,1.239303629,12.96,9.815463823,0,1,1,0
Algeria.Algeria.73,Algeria,1993,20.54032612,-2.100000759,13.86757602,2.745856719,5.873333,-14.71207294,-6.609864281,-0.637064625,-5.916,74.028,3.065056465,-72.20438225,1.589,10.95841315,-7.72388439,1.784,-5.829204314,11.28,9.400054424,0,1,1,0
Algeria.Algeria.74,Algeria,1994,29.04765612,-0.899996549,13.05215872,4.037643425,7.08,-9.128279658,-21.64132739,-0.128648124,-1.865,98.376,2.808611857,-77.13536001,-4.334,34.51889882,-20.26860417,1.21,-3.218817703,14.09,9.126271624,0,1,1,0
Algeria.Algeria.75,Algeria,1995,29.77962649,3.79999479,10.94922737,2.718975789,6.58,4.617729855,-22.84020798,-1.289717861,0.587,116.195,1.697147037,-78.61641431,-5.318,36.92163049,-3.725316452,3.743,5.321394308,13.39,9.295420114,0,1,1,0
Algeria.Algeria.76,Algeria,1996,18.67907586,4.09999847,9.928372463,3.795881229,6.438334,17.97661048,-22.87575295,0.165515674,3.912,98.148,3.035212129,-77.4242177,2.658,10.24137812,22.01053362,-0.119,1.038440517,21.540001,9.509687657,0,1,1,0
Algeria.Algeria.77,Algeria,1997,5.733522754,1.099999938,9.230769231,4.487026493,6.3525,-9.696625193,-8.822214984,-1.457485852,2.93,69.855,4.205854985,-77.46734168,7.161,-0.203321483,3.037037054,-0.025,-4.760187523,24.34,9.461355117,0,1,0,0
Algeria.Algeria.78,Algeria,1998,4.950161638,5.100003611,7.837613919,4.449910963,5.264167,-34.42148155,10.35862417,0.656405624,-3.576,72.863,3.081124851,-78.78580017,-1.888,14.21407174,-26.1100636,0.06,3.060709327,25.379999,9.796739936,0,0,0,0
